partnr	group	sex	dob	educ	DS_n	DS_sw	DS_miss 2B_n	2B_hit	2B_cr	2B_fp	2B_miss	GN_n	GN_hit	GN_cr	GN_fp	GN_miss
1	1	2	1985	5	32	1	0	40	7	31	0	2	35	29	5	1	0
2	1	1	1986	4	33	1	0	42	8	31	2	1	39	33	6	0	0
3	1	1	1972	3	31	0	0	54	14	39	1	0	41	34	6	1	0
4	1	1	1983	4	29	0	0	51	13	36	0	2	41	35	6	0	0
5	1	1	1983	4	29	0	0	42	11	28	1	2	43	37	6	1	0
6	1	2	1980	5	34	0	0	45	9	35	0	1	44	35	7	1	1
7	1	2	1983	2	31	0	0	41	14	26	0	1	35	29	5	1	0
8	1	1	1979	5	31	0	0	38	13	24	1	0	38	32	6	0	0
9	1	1	1984	5	36	1	0	45	8	30	2	5	41	35	6	0	0
10	1	2	1988	2	47	1	2	64	11	51	1	1	64	54	10	0	0
11	1	1	1984	5	28	0	0	39	15	22	2	0	37	31	6	0	0
12	1	2	1987	3	28	0	0	41	10	28	2	1	42	35	7	0	0
13	1	2	1974	1	40	0	0	67	11	47	0	9	49	39	9	0	1
14	1	1	1984	3	47	0	2	49	12	34	2	1	50	42	8	0	0
15	1	1	1983	5	32	0	0	45	9	35	0	1	38	32	6	0	0
16	1	2	1985	3	31	0	0	42	10	32	0	0	38	31	6	0	1
17	1	2	1987	2	48	0	0	47	9	37	1	0	51	43	8	0	0
18	1	2	1989	1	30	0	0	43	12	29	1	1	44	38	6	0	0
19	1	2	1980	3	33	1	0	46	14	30	1	1	39	33	6	0	0
20	1	1	1983	4	41	0	1	49	10	37	0	2	45	38	7	0	0
21	1	2	1988	2	31	0	0	51	18	32	1	0	39	33	6	0	0
22	1	2	1988	2	28	0	0	43	12	31	0	0	41	34	7	0	0
23	1	1	1940	5	64	0	0	68	25	38	1	4	71	59	11	1	0
24	1	2	1980	4	32	0	0	46	10	33	1	2	45	38	6	1	0
25	1	2	1987	3	30	1	0	40	9	30	1	0	39	33	6	0	0
26	1	1	1982	4	33	0	2	42	5	35	0	2	41	33	8	0	0
27	1	2	1985	3	26	1	0	42	5	33	0	4	34	28	6	0	0
28	1	2	1975	3	28	0	0	43	9	30	2	2	37	31	4	2	0
29	1	2	1957	3	36	0	0	46	12	31	0	3	52	43	8	1	0
30	1	2	1988	2	29	2	0	40	10	27	2	1	44	37	6	1	0
31	1	2	1985	2	45	2	3	46	10	30	3	3	49	40	8	0	1
32	1	2	1988	2	35	0	0	44	7	35	0	2	40	34	6	0	0
33	1	2	1988	2	31	1	0	42	8	32	0	2	39	31	8	0	0
34	1	1	1980	3	48	1	1	72	12	56	2	2	61	49	9	1	2
35	1	1	1977	5	32	0	1	43	12	31	0	0	43	37	6	0	0
36	1	1	1971	5	31	0	0	44	8	33	2	1	47	39	8	0	0
