 'frameRate': 119.98612831479856, 'expName': 'FT-RNGT_MRI',,,
trial,block_type,time,stimulus,response
0,alternating,6.5142577021,stimulus,
0,alternating,7.0476590938,tap,b
1,alternating,7.2644358724,stimulus,
1,alternating,7.2856104473,tap,e
1,alternating,7.8065865521,tap,e
2,alternating,8.0145826498,stimulus,
2,alternating,8.3749168765,tap,b
3,alternating,8.7647279178,stimulus,
3,alternating,8.9795613493,tap,e
4,alternating,9.5148439059,stimulus,
4,alternating,9.581544964,tap,b
5,alternating,10.2649767979,stimulus,
5,alternating,10.2755402387,tap,e
5,alternating,10.9525030027,tap,b
6,alternating,11.0150900692,stimulus,
6,alternating,11.6875422032,tap,e
7,alternating,11.7651870404,stimulus,
7,alternating,12.4695214772,tap,b
8,alternating,12.5152852189,stimulus,
9,alternating,13.2654021126,stimulus,
9,alternating,13.2755239385,tap,e
9,alternating,13.839462564,tap,b
10,alternating,14.0155356083,stimulus,
10,alternating,14.6884133588,tap,e
11,alternating,14.7656307683,stimulus,
12,alternating,15.5157386062,stimulus,
12,alternating,15.5554148237,tap,b
12,alternating,16.2014099077,tap,e
13,alternating,16.265853085,stimulus,
14,alternating,17.0159563951,stimulus,
14,alternating,17.0583930832,tap,b
14,alternating,17.7406060237,tap,e
15,alternating,17.7660609127,stimulus,
16,alternating,18.5161675432,stimulus,
16,alternating,18.5173484028,tap,b
16,alternating,19.1803089856,tap,e
17,alternating,19.2662720607,stimulus,
17,alternating,19.9982797243,tap,b
18,alternating,20.0163578632,stimulus,
19,alternating,20.7664635882,stimulus,
19,alternating,20.8392856766,tap,e
19,alternating,21.4723290372,tap,b
20,alternating,21.5165813874,stimulus,
20,alternating,22.1912787242,tap,e
21,alternating,22.2666877161,stimulus,
22,alternating,23.0168097412,stimulus,
22,alternating,23.0252692478,tap,b
23,alternating,23.7669399165,stimulus,
23,alternating,23.7941863192,tap,e
24,alternating,24.517057112,stimulus,
24,alternating,24.5861865994,tap,b
24,alternating,25.2132169941,tap,e
25,alternating,25.2671667611,stimulus,
25,alternating,25.8911743727,tap,b
26,alternating,26.0172697694,stimulus,
26,alternating,26.573149149,tap,e
27,alternating,26.7673742869,stimulus,
27,alternating,27.3151868743,tap,b
28,alternating,27.5174769933,stimulus,
28,alternating,28.1051976234,tap,e
29,alternating,28.267583322,stimulus,
29,alternating,28.9300793488,tap,b
30,alternating,29.0176727467,stimulus,
30,alternating,29.6950898036,tap,e
31,alternating,29.7677663975,stimulus,
31,alternating,30.4880548146,tap,b
32,alternating,30.5178576334,stimulus,
32,alternating,31.1970378295,tap,e
33,alternating,31.2679618491,stimulus,
34,alternating,32.0180829687,stimulus,
34,alternating,32.0250437615,tap,b
35,alternating,32.7682122384,stimulus,
35,alternating,32.7730174796,tap,e
36,alternating,33.518360525,stimulus,
36,alternating,33.5255890639,tap,b
36,alternating,34.2069948422,tap,e
37,alternating,34.2684846632,stimulus,
37,alternating,35.0090013375,tap,b
38,alternating,35.018586464,stimulus,
38,alternating,35.6199443318,tap,e
39,alternating,35.768696415,stimulus,
39,alternating,36.3328991642,tap,b
40,alternating,36.518787349,stimulus,
40,alternating,37.1429030249,tap,e
41,alternating,37.2688897535,stimulus,
41,alternating,37.8848580418,tap,b
42,alternating,38.0190123824,stimulus,
42,alternating,38.6968949008,tap,e
43,alternating,38.7691172018,stimulus,
43,alternating,39.4988651734,tap,b
44,alternating,39.5192232286,stimulus,
44,alternating,40.2018225445,tap,e
45,alternating,40.2693211054,stimulus,
45,alternating,40.885809491,tap,b
46,alternating,41.0194220006,stimulus,
46,alternating,41.7597952935,tap,e
47,alternating,41.7695298386,stimulus,
47,alternating,42.4387765667,tap,b
48,alternating,42.5196470341,stimulus,
48,alternating,43.2357324122,tap,e
49,alternating,43.2697394774,stimulus,
49,alternating,43.9247479731,tap,b
50,alternating,44.0198427875,stimulus,
50,alternating,44.709735843,tap,e
51,alternating,44.7699391549,stimulus,
51,alternating,45.4957128942,tap,b
52,alternating,45.5200325038,stimulus,
53,alternating,46.270150303,stimulus,
53,alternating,46.2997028834,tap,e
53,alternating,46.9946719447,tap,b
54,alternating,47.0202629707,stimulus,
54,alternating,47.7136949826,tap,e
55,alternating,47.7703551121,stimulus,
55,alternating,48.4076863333,tap,b
56,alternating,48.5204605352,stimulus,
56,alternating,49.2646381157,tap,e
57,alternating,49.2705496581,stimulus,
58,alternating,50.0206593072,stimulus,
58,alternating,50.0235981745,tap,b
58,alternating,50.7315808395,tap,e
59,alternating,50.7707571839,stimulus,
59,alternating,51.4445809503,tap,b
60,alternating,51.5208755868,stimulus,
60,alternating,52.1655862747,tap,e
61,alternating,52.2709791988,stimulus,
61,alternating,52.824715101,tap,b
62,alternating,53.0210770755,stimulus,
63,alternating,53.7712105712,stimulus,
63,alternating,53.8285728171,tap,e
64,alternating,54.5213491985,stimulus,
64,alternating,54.5445208508,tap,b
65,alternating,55.2714718274,stimulus,
65,alternating,55.3305000149,tap,e
65,alternating,56.0214386987,tap,b
66,alternating,56.0216176991,stimulus,
67,alternating,56.7717113499,stimulus,
67,alternating,56.8454534944,tap,e
68,alternating,57.5218173767,stimulus,
68,alternating,57.6284038383,tap,b
68,alternating,58.2544278461,tap,e
69,alternating,58.2719309499,stimulus,
69,alternating,58.9813712762,tap,b
70,alternating,59.0222630667,stimulus,
70,alternating,59.7633427019,tap,e
71,alternating,59.7723618489,stimulus,
72,alternating,60.5224654609,stimulus,
72,alternating,60.5793459451,tap,b
73,alternating,61.2725754119,stimulus,
73,alternating,61.3323380144,tap,e
74,alternating,62.0227535822,stimulus,
74,alternating,62.1103804861,tap,b
74,alternating,62.7443432993,tap,e
75,alternating,62.7728792296,stimulus,
75,alternating,63.5073609026,tap,b
76,alternating,63.5229804268,stimulus,
77,alternating,64.2730985278,stimulus,
77,alternating,64.324302917,tap,e
77,alternating,64.9732413961,tap,b
78,alternating,65.0232136103,stimulus,
78,alternating,65.7342429051,tap,e
79,alternating,65.7733105815,stimulus,
80,alternating,66.5234283807,stimulus,
80,alternating,66.5432648292,tap,b
81,alternating,67.2735549337,stimulus,
81,alternating,67.3552376948,tap,e
82,alternating,68.0236802793,stimulus,
82,alternating,68.0922362407,tap,b
82,alternating,68.7551506396,tap,e
83,alternating,68.7737850987,stimulus,
83,alternating,75.7312599669,probe,2
0,random,80.2462291429,stimulus,
0,random,80.5619255497,tap,b
1,random,80.9963632423,stimulus,
1,random,81.199865312,tap,b
2,random,81.7464900972,stimulus,
2,random,81.8109269355,tap,e
3,random,82.496621178,stimulus,
3,random,82.5818721756,tap,e
3,random,83.2208720551,tap,e
4,random,83.2467341475,stimulus,
5,random,83.9969123179,stimulus,
5,random,84.0108559391,tap,e
5,random,84.6048264918,tap,b
6,random,84.7470376634,stimulus,
6,random,85.4397877834,tap,e
7,random,85.4971373513,stimulus,
8,random,86.2472448874,stimulus,
8,random,86.3247771324,tap,e
8,random,86.9917228143,tap,b
9,random,86.9973469901,stimulus,
10,random,87.7474560355,stimulus,
10,random,87.8197284446,tap,b
10,random,88.3237508229,tap,e
11,random,88.4975865126,stimulus,
12,random,89.2477070285,stimulus,
12,random,89.3597256856,tap,e
13,random,89.9978447502,stimulus,
13,random,90.0176959896,tap,b
14,random,90.7479522863,stimulus,
14,random,90.8786512845,tap,b
15,random,91.4980700855,stimulus,
15,random,91.6156323228,tap,b
16,random,92.2482180702,stimulus,
16,random,92.4406366016,tap,b
16,random,92.8075956558,tap,e
17,random,92.9983394917,stimulus,
18,random,93.7484509519,stimulus,
18,random,93.9635735612,tap,e
19,random,94.4985913903,stimulus,
19,random,94.6786069721,tap,e
20,random,95.2487025487,stimulus,
20,random,95.3965391034,tap,e
20,random,95.9585057055,tap,b
21,random,95.9988037458,stimulus,
22,random,96.7488992077,stimulus,
22,random,96.8325177695,tap,e
23,random,97.4990142902,stimulus,
23,random,97.5754827956,tap,b
24,random,98.2491254485,stimulus,
24,random,98.3005746427,tap,e
25,random,98.9997911158,stimulus,
25,random,99.1164716327,tap,b
26,random,99.7499031798,stimulus,
26,random,99.8724732035,tap,b
27,random,100.5000339588,stimulus,
27,random,100.6354449248,tap,b
27,random,101.2443968787,tap,e
28,random,101.2501402874,stimulus,
29,random,102.0002614071,stimulus,
29,random,102.1014277474,tap,e
30,random,102.7503758858,stimulus,
30,random,102.8883659071,tap,e
31,random,103.5005093815,stimulus,
31,random,103.7054024023,tap,e
32,random,104.2507005317,stimulus,
32,random,104.3963649327,tap,b
33,random,105.0008331218,stimulus,
33,random,105.2373298326,tap,b
34,random,105.7509454876,stimulus,
34,random,105.8483072384,tap,e
35,random,106.501343107,stimulus,
35,random,106.5812817458,tap,e
36,random,107.251453058,stimulus,
36,random,107.3492890241,tap,b
37,random,108.0015593866,stimulus,
37,random,108.0972536865,tap,e
38,random,108.7516832229,stimulus,
38,random,108.8322783979,tap,b
38,random,109.4262513655,tap,e
39,random,109.5018112852,stimulus,
40,random,110.2519248585,stimulus,
40,random,110.3192127241,tap,e
41,random,111.0020233389,stimulus,
41,random,111.1291857955,tap,e
42,random,111.7521191026,stimulus,
42,random,111.8192270622,tap,b
43,random,112.5022559187,stimulus,
43,random,112.5101744998,tap,b
43,random,113.1441620651,tap,e
44,random,113.2523842829,stimulus,
45,random,114.002518986,stimulus,
45,random,114.1121644534,tap,b
46,random,114.7526627448,stimulus,
46,random,114.9241367153,tap,b
46,random,115.4440653807,tap,e
47,random,115.5027748087,stimulus,
48,random,116.2528871745,stimulus,
48,random,116.4010681466,tap,e
49,random,117.0029814289,stimulus,
49,random,117.1140256958,tap,e
50,random,117.7530774945,stimulus,
50,random,117.7580170615,tap,b
50,random,118.4850610096,tap,b
51,random,118.5031856343,stimulus,
51,random,119.2260334861,tap,e
52,random,119.2532925667,stimulus,
53,random,120.0034381366,stimulus,
53,random,120.0409784231,tap,b
53,random,120.6989484252,tap,e
54,random,120.7535420505,stimulus,
55,random,121.5036526051,stimulus,
55,random,121.5249467149,tap,e
56,random,122.2537867045,stimulus,
56,random,122.2869534034,tap,b
57,random,123.0039042019,stimulus,
57,random,123.1039271127,tap,b
57,random,123.701940721,tap,e
58,random,123.7540047953,stimulus,
59,random,124.5041307446,stimulus,
59,random,124.6689056311,tap,b
59,random,125.1458687574,tap,e
60,random,125.2542485438,stimulus,
61,random,126.004353665,stimulus,
61,random,126.0654426216,tap,e
62,random,126.754450938,stimulus,
62,random,126.8168058775,tap,b
63,random,127.5045714539,stimulus,
63,random,127.6538077137,tap,b
64,random,128.2547140053,stimulus,
64,random,128.332809513,tap,b
65,random,129.0048689327,stimulus,
65,random,129.0837984678,tap,b
65,random,129.6657153181,tap,e
66,random,129.7549816004,stimulus,
66,random,130.4297737199,tap,b
67,random,130.5050840049,stimulus,
68,random,131.2551939559,stimulus,
68,random,131.3177393663,tap,b
69,random,132.0053271497,stimulus,
69,random,132.0757256385,tap,b
70,random,132.7554503823,stimulus,
70,random,132.8886897983,tap,b
71,random,133.5055820669,stimulus,
71,random,133.6147146814,tap,b
71,random,134.2306721029,tap,e
72,random,134.2556968475,stimulus,
73,random,135.0058052892,stimulus,
73,random,135.1266375295,tap,e
74,random,135.755917655,stimulus,
74,random,135.89862387,tap,b
75,random,136.5060312282,stimulus,
75,random,136.5615744915,tap,e
76,random,137.2561451033,stimulus,
76,random,137.3815767192,tap,b
77,random,138.0062550542,stimulus,
77,random,138.1325828798,tap,b
77,random,138.7125195565,tap,e
78,random,138.75636742,stimulus,
79,random,139.5064945767,stimulus,
79,random,139.6585743173,tap,e
80,random,140.2566271668,stimulus,
80,random,140.4524883627,tap,e
81,random,141.0067268547,stimulus,
81,random,141.168493749,tap,e
82,random,141.7568386168,stimulus,
82,random,141.8454544,tap,b
82,random,148.8043172009,probe,0
0,random,153.3217235599,stimulus,
0,random,153.5842544209,tap,b
1,random,154.0718467925,stimulus,
1,random,154.1461820836,tap,e
1,random,154.7521740403,tap,e
2,random,154.8219648936,stimulus,
3,random,155.5720811835,stimulus,
3,random,155.6681633679,tap,e
3,random,156.1461446535,tap,b
4,random,156.3221887196,stimulus,
4,random,157.0290976838,tap,e
5,random,157.0722905204,stimulus,
5,random,157.7750906246,tap,b
6,random,157.8223914157,stimulus,
6,random,158.3951034776,tap,e
7,random,158.5725125353,stimulus,
7,random,159.2790933824,tap,b
8,random,159.3226173547,stimulus,
8,random,160.0240654471,tap,e
9,random,160.0727094962,stimulus,
10,random,160.8228115989,stimulus,
10,random,160.8540376674,tap,e
11,random,161.5729290962,stimulus,
11,random,161.615542068,tap,b
12,random,162.3230761754,stimulus,
12,random,162.4820379245,tap,b
13,random,163.0732021247,stimulus,
13,random,163.104983004,tap,e
14,random,163.8233166035,stimulus,
14,random,163.9069351653,tap,e
14,random,164.5339441283,tap,b
15,random,164.5734193099,stimulus,
15,random,165.2619564295,tap,b
16,random,165.323516281,stimulus,
17,random,166.0736223079,stimulus,
17,random,166.1258744383,tap,b
17,random,166.7668882992,tap,e
18,random,166.8237395033,stimulus,
18,random,167.5478648085,tap,b
19,random,167.5738331541,stimulus,
19,random,168.2418603851,tap,e
20,random,168.3239361623,stimulus,
21,random,169.0740705636,stimulus,
21,random,169.1469014058,tap,b
22,random,169.8243269146,stimulus,
22,random,169.9811140951,tap,e
23,random,170.5744691641,stimulus,
23,random,170.7008262697,tap,e
24,random,171.3245815299,stimulus,
24,random,171.3407981246,tap,b
25,random,172.0746893678,stimulus,
25,random,172.1679256566,tap,b
26,random,172.8247975076,stimulus,
26,random,172.990727596,tap,b
27,random,173.5749119864,stimulus,
27,random,173.6598001534,tap,b
27,random,174.2516064007,tap,e
28,random,174.3250291819,stimulus,
29,random,175.0751318883,stimulus,
29,random,175.1637168823,tap,e
30,random,175.8252572339,stimulus,
30,random,175.8576650675,tap,b
31,random,176.5753819758,stimulus,
31,random,176.623646894,tap,e
32,random,177.3254883044,stimulus,
32,random,177.4106378785,tap,e
33,random,178.075601274,stimulus,
33,random,178.138639011,tap,b
34,random,178.8257383919,stimulus,
34,random,178.8726473743,tap,b
34,random,179.4626086794,tap,e
35,random,179.5759222975,stimulus,
36,random,180.3260443227,stimulus,
36,random,180.4576211173,tap,e
37,random,181.0761805351,stimulus,
37,random,181.1765792563,tap,e
38,random,181.8262874675,stimulus,
38,random,181.871516019,tap,b
39,random,182.5764091908,stimulus,
39,random,182.6835546892,tap,e
40,random,183.3265484217,stimulus,
40,random,183.3695350909,tap,e
40,random,183.9785268898,tap,b
41,random,184.0766758803,stimulus,
42,random,184.8267810016,stimulus,
42,random,184.9234979886,tap,b
43,random,185.5769081583,stimulus,
43,random,185.7354479131,tap,b
43,random,186.21243066,tap,e
44,random,186.3270525208,stimulus,
45,random,187.0771754515,stimulus,
45,random,187.4304320672,tap,b
46,random,187.8272896284,stimulus,
46,random,187.9673938472,tap,e
47,random,188.5774176907,stimulus,
47,random,188.6294029807,tap,e
48,random,189.3275581291,stimulus,
48,random,189.3983719714,tap,e
49,random,190.0779116776,stimulus,
49,random,190.2783604767,tap,e
50,random,190.8280487956,stimulus,
50,random,190.8913029632,tap,b
50,random,191.5583078089,tap,b
51,random,191.5781596521,stimulus,
51,random,192.2943120421,tap,b
52,random,192.3284446794,stimulus,
53,random,193.078653639,stimulus,
53,random,193.1363008367,tap,b
53,random,193.7643201107,tap,e
54,random,193.8287632881,stimulus,
55,random,194.5788702205,stimulus,
55,random,194.609213361,tap,e
56,random,195.3289883215,stimulus,
56,random,195.3532608417,tap,b
56,random,196.0602504014,tap,b
57,random,196.0790961595,stimulus,
57,random,196.823168996,tap,e
58,random,196.8291916213,stimulus,
59,random,197.5793106279,stimulus,
59,random,197.6191788257,tap,e
60,random,198.3294344643,stimulus,
60,random,198.3481504244,tap,e
60,random,199.0021833224,tap,b
61,random,199.0795507542,stimulus,
61,random,199.7971375626,tap,b
62,random,199.8296540643,stimulus,
