uuid,condition,block,index,start,end,value,blockorder
gLHPXKsiFw1ubhPBEdtgh,Fast,2,1,0.7665840517241379,1.3998491379310345,50,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,2,1.7664762931034483,2.199762931034483,52,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,3,2.4399561572715096,2.8843926188790534,58,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,4,3.148832347443353,3.693267012912594,74,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,5,3.74882148584401,4.315477974393628,76,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,6,4.395476673114231,5.162129569387243,75,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,7,5.337681836090979,5.926560147720974,82,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,8,6.12877887338365,6.728768096553835,91,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,9,6.833210597215985,7.43319982038617,93,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,10,7.553197529388962,8.164297664099335,94,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,11,8.499847328244275,8.899840143691064,100,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,12,9.164279702716309,9.730936191265927,99,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,13,9.870934083566036,10.515366952896974,97,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,14,10.606475885001544,11.150910550470783,96,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,15,11.370907141491497,11.83756542617942,95,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,16,12.119782172406474,12.608662280174771,94,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,17,12.859769287876768,13.381982130265632,93,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,18,13.62642218414978,14.137524114998456,92,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,19,14.377519533004042,14.877510552312527,91,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,20,15.197505347194936,15.619719985722105,100,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,21,16.673033585944516,17.017471843690362,90,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,22,17.975233232242086,18.530778809251515,82,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,23,18.804106961877665,19.426318008128227,83,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,24,19.695201524875813,20.328523482666565,89,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,25,20.41518913520501,21.137398385317272,74,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,26,21.24850750071916,21.87071854696972,51,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,27,22.004049485451983,22.626260531702545,54,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,28,22.692926000943675,23.31513704719424,55,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,29,23.3773578805568,23.888459811405475,56,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,30,24.184009787112007,24.695111717960685,47,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,31,24.89510948199652,25.46176597054614,48,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,32,25.6217620116749,26.46619128872923,53,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,33,27.11506743762629,27.726167572336664,62,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,34,27.7395028362848,28.428379351776496,71,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,35,28.510599012123933,29.16614279299506,73,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,36,29.22614063026212,29.90390623421363,74,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,37,29.99946115850921,30.732781320161653,75,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,38,30.77500332653934,31.319437992008584,76,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,39,31.521656039515044,32.15497799730579,77,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,40,32.26386547292462,32.774967403773296,78,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,41,33.106073110195894,33.75050597952683,79,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,42,34.55271325020347,35.31936614647648,83,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,43,35.37492070417743,36.06379721966912,82,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,44,36.09490831450662,36.7948957415385,84,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,45,36.86600449034575,37.52154827121688,86,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,46,37.61932483529552,38.374866820028345,83,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,47,38.4193104661891,39.085965158600416,89,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,48,39.13040880476117,39.719287116391165,91,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,49,39.781506593441286,40.37038490507128,92,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,50,40.643714414009885,41.31036910642119,93,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,51,41.38147785522845,41.79258158221543,94,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,52,42.10813309753171,42.74145505532246,44,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,53,42.89256182469409,43.45921831324371,54,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,54,43.76365891701981,44.396980874810566,74,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,55,44.49253308648125,45.17029869043276,64,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,56,48.06580332285586,48.92134351145038,99,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,57,50.99241633749158,51.73684741068421,78,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,58,51.82795905541367,52.45017010166424,80,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,59,52.5523872326841,53.23015283663561,90,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,60,53.38126231863213,53.94791880718174,100,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,61,54.71457170345476,55.38122639586608,97,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,62,55.43011332159295,56.20787712940615,93,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,63,56.29454549456949,56.972311098521,92,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,64,57.07230930238269,57.72785308325382,91,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,65,57.89451675635664,58.41672959874551,100,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,66,58.66116965262966,59.31671343350079,91,SF
gLHPXKsiFw1ubhPBEdtgh,Fast,2,67,59.48337710660362,60.01670086053267,92,SF
