pno,gender,pori,fors,pair,Half,sdscore,f_r,f_rng,f_nsq,f_rng2,f_tpi,f_runs,f_coupon,f_asc,f_des,f_a,f_rf1,f_rf2,f_rf3,f_rf4,f_rf5,f_rf6,f_rf7,f_rf8,f_rf9,f_rf10,f_fodm9,f_fodm8,f_fodm7,f_fodm6,f_fodm5,f_fodm4,f_fodm3,f_fodm2,f_fodm1,f_fod0,f_fodp1,f_fodp2,f_fodp3,f_fodp4,f_fodp5,f_fodp6,f_fodp7,f_fodp8,f_fodp9,f_rd1,f_rd2,f_rd3,f_rd4,f_rd5,f_rd6,f_rd7,f_rd8,f_rd9,f_rd10,f_rd11,f_rd12,f_rd13,f_rd14,f_rd15,f_rd16,f_rd17,f_rd18,f_rd19,f_rd20,f_rd20pl,f_mnrg,f_medrg,f_morg,f_phi2,f_phi3,f_phi4,f_phi5,f_phi6,f_phi7,sr,srng,snsq,srng2,stpi,sruns,scoupon,sasc,sdes,sa,srf1,srf2,srf3,srf4,srf5,srf6,srf7,srf8,srf9,srf10,sfodm9,sfodm8,sfodm7,sfodm6,sfodm5,sfodm4,sfodm3,sfodm2,sfodm1,sfod0,sfodp1,sfodp2,sfodp3,sfodp4,sfodp5,sfodp6,sfodp7,sfodp8,sfodp9,srd1,srd2,srd3,srd4,srd5,srd6,srd7,srd8,srd9,srd10,srd11,srd12,srd13,srd14,srd15,srd16,srd17,srd18,srd19,srd20,srd20pl,smnrg,smedrg,smorg,sphi2,sphi3,sphi4,sphi5,sphi6,sphi7,ir,irng,insq,irng2,itpi,iruns,icoupon,iasc,ides,ia,irf1,irf2,irf3,irf4,irf5,irf6,irf7,irf8,irf9,irf10,ifodm9,ifodm8,ifodm7,ifodm6,ifodm5,ifodm4,ifodm3,ifodm2,ifodm1,ifod0,ifodp1,ifodp2,ifodp3,ifodp4,ifodp5,ifodp6,ifodp7,ifodp8,ifodp9,ird1,ird2,ird3,ird4,ird5,ird6,ird7,ird8,ird9,ird10,ird11,ird12,ird13,ird14,ird15,ird16,ird17,ird18,ird19,ird20,ird20pl,imnrg,imedrg,imorg,iphi2,iphi3,iphi4,iphi5,iphi6,iphi7,H1R,H1RNG,H1NSQ,H1RNG2,H1TPH1,H1RUNS,H1COUPON,H1ASC,H1DES,H1A,H1RF1,H1RF2,H1RF3,H1RF4,H1RF5,H1RF6,H1RF7,H1RF8,H1RF9,H1RF10,H1FODM9,H1FODM8,H1FODM7,H1FODM6,H1FODM5,H1FODM4,H1FODM3,H1FODM2,H1FODM1,H1FOD0,H1FODP1,H1FODP2,H1FODP3,H1FODP4,H1FODP5,H1FODP6,H1FODP7,H1FODP8,H1FODP9,H1RD1,H1RD2,H1RD3,H1RD4,H1RD5,H1RD6,H1RD7,H1RD8,H1RD9,H1RD10,H1RD11,H1RD12,H1RD13,H1RD14,H1RD15,H1RD16,H1RD17,H1RD18,H1RD19,H1RD20,H1RD20PL,H1MNRG,H1MEDRG,H1MORG,H1PHH12,H1PHH13,H1PHH14,H1PHH15,H1PHH16,H1PHH17,solorep
    1.00,1,2,1,2,1,20,2.2591,.2804,43.4343,.2549,93.75,.913,21.5,7.14,12.24,19.39,10,8,12,8,13,5,9,16,6,11,2,3,2,3,5,7,6,5,12,1,7,19,10,4,5,2,3,0,2,1,1,9,5,9,6,5,7,6,5,7,8,2,4,1,0,3,1,1,1,6,9.75,9,-3,-3.613384,-4.044623,-1.543477,-2.686969,-1.408977,-2.134365,.8187,.2272,36.3636,.2462,102.0619,.78,22.75,2.02,8.08,10.1,9,12,8,7,11,12,8,10,9,13,0,4,5,6,6,8,3,6,8,3,2,11,16,6,4,4,3,3,1,3,1,6,7,7,9,12,8,3,4,7,3,3,1,2,0,1,0,1,3,8,9.37,7,7,-2.649106,-3.741782,-2.18003,-2.018728,-1.723178,-.671969,.7782,.2227,39.3939,.1913,105.6818,.6512,19,11.11,7.78,18.89,8,8,12,8,10,9,7,12,7,9,0,1,4,8,8,6,2,4,7,3,10,10,7,6,2,3,7,1,1,3,4,6,5,11,7,5,2,2,4,4,2,4,5,0,1,3,2,4,2,4,9.57,7,5,-2.535736,-2.38485,-1.265401,-2.074807,.925475,-.362303,.5561,.1849,29.2929,.2325,94.898,.7692,23.25,12,5,17,13,10,12,9,11,9,8,11,9,8,0,1,8,4,6,4,4,11,5,8,12,11,6,7,2,3,2,3,3,8,9,4,4,7,5,5,6,5,5,6,4,1,2,2,4,3,1,1,1,7,9.24,8,2,-.79732,-.531538,-1.390326,-2.377941,-.851289,-.174301,4
    4.00,1,1,1,2,2,14,1.1428,.2881,43.4343,.2348,99.4898,1.2708,14.33,16,12,28,14,14,11,9,9,9,7,10,10,7,2,3,4,4,6,3,4,9,12,0,16,10,7,6,1,5,4,2,2,0,1,2,7,8,11,14,8,4,7,1,3,3,3,4,2,2,3,0,2,5,9.61,8,7,-3.794567,-3.917747,-4.112625,-2.893882,-2.44137,-1.106636,.9702,.2415,38.3838,.1998,96.4286,.8462,22.5,6,10,16,13,12,10,11,6,11,9,7,11,10,0,2,4,6,6,5,9,10,10,0,6,8,9,8,6,5,3,2,1,0,5,4,3,8,4,7,10,10,12,3,6,3,2,5,2,0,1,1,1,3,9.44,9,10,-3.750453,-2.375675,-2.78847,-3.599689,-1.628149,-3.390523,2.5733,.2422,37.3737,.2693,91.8367,.8846,22.67,10,10,20,12,13,16,11,3,8,9,9,10,9,0,1,5,9,3,5,7,9,10,3,10,9,9,2,3,8,3,2,2,3,3,3,6,8,12,7,5,10,7,3,4,1,3,2,1,3,0,3,1,5,9.38,8,6,-2.911851,-3.203627,-3.55323,-2.955453,-1.913224,-.21359,1.0275,.2243,35.3535,.2139,87.2449,.8846,18.8,10,10,20,7,10,14,11,8,8,11,8,10,13,2,3,1,5,6,7,2,5,10,10,10,11,7,9,4,4,3,0,1,10,6,4,4,8,5,4,3,7,3,7,2,3,4,3,3,5,1,0,1,7,9.42,9,1,.139339,-1.821185,-.868499,-2.225415,-.7724,-1.936334,0
   11.00,2,1,1,2,1,13,.9331,.3154,43.4343,.2487,76.5306,2,15.2,23,12,35,12,8,10,11,6,14,10,10,10,9,5,2,3,0,1,2,6,8,12,0,23,21,7,5,1,1,1,1,1,0,2,3,5,4,10,12,10,10,5,4,4,4,2,4,3,4,0,0,0,4,9.5,8,7,-3.750451,-3.492224,-3.447815,-3.162797,-3.659055,-1.761114,1.3588,.3059,43.4343,.2213,99.4898,1.0426,17.25,8,7,15,11,8,8,11,8,11,17,9,9,8,4,2,2,1,3,10,7,10,7,1,8,15,12,5,4,5,2,1,1,0,3,5,6,6,9,11,8,5,10,4,6,1,3,1,3,1,2,1,1,4,9.44,8,7,-3.853427,-3.276634,-2.819908,-2.558607,-2.732835,-1.760308,4.4871,.3054,43.4343,.2597,91.8367,1.0833,32,14,14,28,10,7,10,14,4,15,17,6,13,4,2,1,2,3,2,3,13,8,14,0,14,13,13,4,3,0,2,2,1,0,4,7,10,13,11,7,4,4,2,5,1,3,0,5,4,1,1,2,0,6,9.61,6.5,5,-4.3183,-3.513866,-2.679003,-1.89272,.100285,-.070046,1.3607,.2318,36.3636,.2645,108.6735,.6,21,12,8,20,12,10,11,11,7,11,14,9,10,5,1,1,6,3,5,8,4,10,8,4,12,10,5,6,7,4,4,2,0,4,5,10,6,9,4,5,4,8,8,2,5,1,2,5,0,2,0,3,1,6,9.26,8,3,-2.374074,-2.321372,-.255422,-1.312494,.121459,-1.210883,0
   12.00,1,1,2,2,2,17,.9069,.2581,40.404,.2082,104.0816,.75,20,7,6,13,11,8,13,12,9,6,10,12,9,10,0,2,4,7,6,3,7,12,6,1,7,15,7,8,5,7,2,1,0,1,2,4,2,10,7,9,9,8,10,6,4,3,3,2,2,1,1,0,0,6,9.69,9,-5,-3.386449,-3.459227,-3.009279,-4.12932,-1.819817,-2.753431,.5561,.2733,41.4141,.2276,107.1429,.72,15.67,8,4,12,13,8,10,11,12,8,9,11,9,9,0,1,4,7,5,10,11,7,4,0,8,10,7,9,5,5,2,5,0,0,6,5,7,6,5,7,11,9,6,1,2,3,2,5,3,2,3,0,0,7,9.71,8,8,-3.691664,-1.93126,-2.24803,-1.81778,-2.004045,-2.029368,1.7427,.2697,40.404,.2294,105.6122,.7917,20,7,7,14,12,5,12,13,8,8,11,14,7,10,3,2,4,4,5,5,7,9,7,2,7,12,9,7,7,5,5,0,0,2,3,6,7,13,9,10,6,9,2,2,3,3,0,2,0,3,0,2,0,8,9.02,7,5,-3.160823,-3.234926,-2.484644,-2.268734,.376343,-.073045,1.3385,.2578,39.3939,.2313,96.4286,.8148,28,8,9,17,10,4,11,13,10,10,12,11,9,10,3,0,3,4,6,5,5,13,9,6,8,9,6,6,6,7,1,2,1,5,6,5,4,10,5,1,5,11,8,8,2,1,5,6,0,1,1,1,0,5,9.44,9,9,-1.989518,-1.833218,-2.23698,-2.796338,-.273409,-1.893045,1
   13.00,1,2,1,2,1,8,3.8898,.2937,41.4141,.2102,94.898,.88,17,12,12,24,10,10,12,9,16,11,12,11,8,1,0,1,2,3,3,9,6,12,12,2,12,10,14,5,4,4,1,0,0,2,4,2,3,10,6,12,14,8,4,6,2,3,3,4,0,0,2,0,1,4,8.91,8,8,-3.367251,-3.033361,-3.955198,-4.294995,-2.249307,-3.65453,.567,.2302,33.3333,.2456,114.7959,.5532,21.5,6,5,11,12,9,10,11,10,9,10,9,7,13,2,5,3,1,9,6,7,8,5,1,6,10,9,10,10,5,1,2,0,0,2,5,4,9,8,11,9,7,5,5,5,4,4,0,5,0,1,0,2,4,9.44,8,7,-3.691664,-3.374969,-2.592426,-3.208347,-1.740127,-1.946559,8.0638,.3094,47.4747,.3201,99.4898,.7719,68,2,7,9,17,3,7,19,11,7,7,12,1,16,2,1,5,4,8,3,11,8,7,8,2,5,10,6,6,7,3,2,2,7,7,9,10,12,5,10,5,3,1,1,5,1,2,3,2,0,2,0,1,4,7.61,5.5,5,-2.281819,-2.397668,-1.461797,-1.7754,-.384892,-2.493862,2.4716,.2391,35.3535,.2366,102.551,.5636,32.67,7,6,13,15,6,7,15,10,7,9,13,6,12,1,1,3,7,2,10,7,11,6,7,7,9,7,5,5,2,6,2,2,7,7,3,6,8,4,8,5,4,7,4,4,4,3,3,3,1,2,1,2,4,9.51,8,-5,-1.488478,-1.472156,-2.673606,-1.579772,-.662785,-.888122,2
   16.00,1,1,1,2,2,15,3.6003,.2968,44.4444,.2667,91.8367,.9231,41,14,11,25,11,9,18,8,11,12,11,12,5,3,0,1,0,6,3,6,7,14,11,4,14,10,9,5,2,5,2,1,0,3,6,4,8,7,11,7,6,8,4,1,7,1,4,2,2,2,0,1,0,6,9.72,7,6,-3.089017,-2.413324,-3.049615,-1.791383,-1.796283,-.998572,1.9239,.2437,37.3737,.2418,94.898,.7692,28.33,10,17,27,8,5,15,12,12,11,12,10,9,6,1,0,2,6,2,8,3,12,17,1,10,14,9,4,4,2,3,1,1,1,2,4,5,10,8,11,4,13,2,5,4,3,3,5,3,2,1,0,0,4,9.67,8.5,9,-3.548335,-3.656479,-3.311075,-3.309103,-1.797061,-1.375069,1.5164,.2692,40.404,.2614,102.551,.8235,14.17,9,16,25,8,7,15,13,8,11,9,13,7,9,2,1,3,3,4,7,8,7,16,0,9,14,6,4,8,4,1,2,1,0,3,2,4,12,7,8,7,6,8,5,8,4,5,0,3,2,0,1,0,5,9.72,9,5,-3.860781,-3.257379,-3.865299,-3.892864,-1.065358,-2.111951,1.0685,.2316,36.3636,.2223,91.8367,.8393,23.75,10,10,20,6,8,14,12,9,11,10,11,8,11,1,1,6,0,3,7,4,14,10,9,10,8,10,5,4,4,2,0,2,9,4,6,4,7,3,10,3,8,4,7,0,4,2,3,3,2,1,0,3,7,9.6,8,7,-.509588,-2.482907,-.923147,-2.433871,-1.092325,-2.26388,4
   19.00,1,2,1,2,1,10,1.6003,.26,38.3838,.2989,104.0816,.6383,17.8,6,6,12,13,6,13,6,8,10,8,12,12,12,3,3,4,7,7,4,6,7,6,0,6,12,8,8,4,4,8,3,0,0,0,8,7,6,9,8,4,8,10,6,3,2,6,3,1,0,3,1,0,5,9.76,9,10,-3.853427,-4.348918,-2.118121,-2.205512,-2.408011,-1.76041,.9504,.2961,44.4444,.2245,107.1429,.6154,19.8,2,0,2,12,9,11,12,6,9,11,8,13,9,0,1,6,7,9,5,10,13,0,1,2,7,9,9,6,7,3,4,1,1,1,4,6,6,7,7,8,8,6,9,9,2,4,3,1,3,0,0,1,4,9.71,9,-11,-3.3938,-3.729194,-3.044856,-2.546223,-2.721093,-2.825191,.7967,.2857,41.4141,.2256,101.0204,.72,37,10,10,20,12,10,9,8,10,8,14,8,12,9,3,1,7,4,7,3,5,7,10,2,10,10,3,13,3,3,3,5,1,2,5,8,10,9,9,9,2,3,4,5,1,4,3,2,3,1,4,2,0,4,8.87,7,4,-3.021022,-2.310628,-1.317484,-.416207,.336545,.572953,1.2108,.276,40.404,.2715,110.2041,.566,21.5,3,3,6,12,10,11,10,7,6,14,10,12,8,0,1,9,4,8,8,6,7,3,6,3,8,10,8,7,5,3,1,3,6,5,6,6,6,5,8,5,4,5,3,6,3,3,4,3,2,1,1,3,5,9.41,8,7,-1.632895,-2.212588,-1.719768,-1.776681,-1.33122,-1.28576,1
   24.00,2,1,1,2,2,12,.5126,.2951,42.4242,.2577,78.0612,1.4151,13.71,15,17,32,10,8,10,10,9,13,9,12,11,8,1,1,0,1,4,2,11,15,17,1,15,16,4,5,1,1,1,2,2,1,0,1,5,5,3,8,9,11,13,8,9,6,4,1,2,1,0,1,1,1,9.83,10,10,-3.327658,-4.031721,-4.153918,-3.310771,-3.435153,-4.320094,.2707,.2826,42.4242,.2223,91.8367,2.1064,14.67,17,11,28,10,8,11,8,10,10,11,11,10,11,2,3,1,0,1,7,10,12,11,0,17,16,4,7,4,1,2,0,2,0,1,7,3,6,6,7,9,8,8,3,6,11,2,1,3,0,2,1,4,2,9.89,9,13,-3.640264,-3.694662,-1.92975,-3.339688,-2.551615,-3.127364,.4456,.2203,33.3333,.2331,90.3061,1,20,11,18,29,11,8,11,10,8,10,11,12,11,8,1,3,1,5,5,5,5,11,18,1,11,7,8,5,2,3,3,2,4,1,0,1,8,4,8,11,10,8,10,5,6,3,3,4,3,0,0,3,0,2,9.56,9,7,-3.312972,-4.028161,-4.139608,-2.100861,-3.489567,-2.26035,.7046,.2475,37.3737,.2268,99.4898,.6852,21.5,9,13,22,6,8,10,10,10,12,10,12,11,11,1,0,1,4,6,6,6,11,13,6,9,8,11,10,5,1,0,0,2,6,4,8,2,4,3,8,8,8,5,6,1,8,5,3,2,1,3,0,2,3,9.58,9,-3,-1.54462,-2.417336,-.658182,-3.296998,-2.72871,-3.264065,1
   33.00,2,2,2,2,1,11,.3449,.3084,45.4545,.2664,70.4082,1.8776,16,16,20,36,12,8,12,9,10,11,9,10,9,10,3,0,4,1,5,6,1,9,20,0,16,16,2,6,3,1,4,3,0,0,0,2,1,9,8,6,13,9,13,6,4,1,5,4,3,2,0,1,0,3,9.91,9,-8,-3.654941,-4.04616,-3.838338,-4.652252,-2.452238,-2.733408,.3449,.2521,38.3838,.2558,85.7143,1.16,12.43,11,14,25,10,9,12,10,9,12,8,10,11,9,1,2,3,3,3,5,8,11,14,0,11,12,7,8,7,1,2,2,0,0,0,1,2,5,10,9,12,10,8,3,7,5,5,4,1,5,0,3,0,0,9.94,9,8,-3.654945,-4.053009,-4.245213,-4.487131,-4.089139,-2.79125,2.4102,.2551,39.3939,.258,90.3061,1.098,21.67,10,11,21,14,4,9,13,11,13,11,10,5,10,3,1,1,3,6,6,10,9,11,1,10,9,8,7,7,3,2,1,2,1,3,6,4,9,10,11,6,6,3,6,3,3,3,9,1,2,0,0,1,3,9.28,8,7,-3.599899,-3.291929,-2.512661,-3.354881,-1.78125,-1.055984,1.0773,.2551,38.3838,.2308,99.4898,.8772,19.4,8,11,19,15,9,9,11,10,11,10,11,6,8,3,1,1,3,6,4,6,16,11,6,8,6,5,9,4,5,3,2,1,6,4,3,6,3,5,10,3,6,6,7,5,5,2,4,8,3,1,0,0,3,9.73,9,7,-1.618176,-2.212349,-2.588223,-1.726611,-2.557561,-2.274351,0
41B,2,2,2,2,2,6,1.3006,.2772,42.4242,.2953,82.6531,1.0385,20,1,10,11,15,6,11,8,10,11,8,8,11,12,3,1,6,1,3,7,8,13,10,0,1,12,11,7,8,5,2,2,0,0,0,3,6,13,13,7,10,8,4,3,4,5,3,3,1,3,0,1,0,3,9.04,8,-5,-3.816638,-4.297904,-3.807551,-3.286505,-1.024558,-.445161,.4159,.2691,41.4141,.2272,102.551,.6481,21.25,0,1,1,13,9,11,9,10,9,9,9,9,12,0,3,6,2,6,7,12,17,1,0,0,11,6,6,7,8,5,2,1,0,3,3,4,13,4,15,12,6,4,7,3,2,3,0,1,0,2,4,0,4,9.34,8,7,-3.669627,-3.019421,-3.241722,-3.444696,-.404112,-3.193837,4.3956,.3255,46.4646,.2857,90.3061,1,38.5,10,9,19,15,8,16,2,6,9,8,12,9,15,2,3,5,8,5,2,3,11,9,0,10,8,6,8,8,7,1,3,1,0,3,11,12,12,14,5,5,4,3,4,2,0,2,1,0,1,1,2,0,8,8.76,6,6,-4.259132,-3.803969,-1.318632,-.884348,.434894,1.038205,1.0401,.2223,33.3333,.2231,102.551,.88,18.2,7,7,14,10,9,14,7,9,8,9,11,9,14,2,3,7,2,4,3,7,9,7,6,7,15,6,7,5,3,2,4,1,5,4,5,3,6,8,6,5,11,8,4,3,4,2,2,4,1,2,1,0,6,9.51,9,9,-1.982158,-2.552743,-1.958297,-3.225809,-1.541824,-1.208712,0
