Index,C1a,C2a,C3a,C4a,C5a,C6a,C7a,C8a,C9a,C10a,C11a,C12a,C13a,C14a,C15a,C16a,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,Type,Condition
1,2,4,1,6,5,8,5,5,3,5,3,1,3,3,5,5,5,1,3,3,3,10,8,10,6,3,1,1,10,1,8,2,Slow,Coop
2,9,1,3,4,7,2,7,10,5,3,8,2,9,7,7,7,2,9,4,8,6,1,2,9,9,7,7,10,7,5,4,4,Slow,Coop
3,6,10,9,9,1,7,9,1,9,2,5,3,2,6,1,9,6,8,8,6,9,8,5,4,10,10,9,3,4,7,5,1,Slow,Coop
4,3,8,10,2,3,6,2,7,1,4,4,5,4,1,6,6,9,5,6,9,2,2,3,8,1,6,4,7,8,2,7,9,Slow,Coop
5,5,3,5,7,9,9,6,6,4,1,7,8,10,4,8,2,1,3,1,4,7,3,10,6,7,1,5,4,7,6,1,6,Slow,Coop
6,7,5,6,3,10,3,10,3,7,10,10,9,7,5,10,4,4,4,5,10,10,6,1,1,3,5,10,2,2,9,3,3,Slow,Coop
7,8,9,2,8,8,10,1,8,10,1,2,7,5,7,6,10,7,6,9,1,1,5,7,7,8,2,9,6,1,8,7,2,Slow,Coop
8,1,2,4,10,2,1,3,10,2,3,9,4,1,9,4,8,3,2,10,7,4,7,9,2,5,4,3,8,5,5,6,1,Slow,Coop
9,4,6,3,2,4,9,8,2,4,6,4,10,8,5,2,1,10,5,6,5,8,2,5,5,2,9,6,9,5,10,10,8,Slow,Coop
10,6,4,5,4,3,6,4,3,6,4,3,6,9,3,1,4,7,7,4,1,5,4,4,3,7,8,2,4,6,10,4,10,Slow,Coop
11,8,8,10,3,6,8,1,5,8,7,5,2,2,6,3,8,4,6,5,9,10,10,7,8,9,6,1,5,10,7,5,5,Slow,Coop
12,1,10,9,5,7,4,10,8,6,2,2,8,1,8,5,3,3,4,3,4,2,9,2,6,3,10,5,2,4,9,8,6,Slow,Coop
13,9,2,1,8,2,2,6,7,3,3,9,7,5,4,6,2,6,1,2,6,4,3,8,5,10,1,4,4,3,2,9,7,Slow,Coop
14,3,5,8,1,1,9,9,9,1,1,1,5,10,7,9,6,10,9,7,5,1,8,6,1,1,3,7,6,1,4,6,10,Slow,Coop
15,7,3,3,6,10,7,9,2,2,9,8,4,4,9,1,3,5,2,7,8,3,1,10,10,5,5,10,1,8,5,2,3,Slow,Coop
16,10,4,7,10,9,5,7,4,9,10,10,1,5,2,8,7,8,3,2,2,5,5,1,4,6,2,6,3,9,1,4,2,Slow,Coop
17,9,1,4,3,2,3,4,8,10,4,6,9,6,5,2,5,1,7,8,10,9,6,4,2,2,7,3,7,7,7,1,5,Slow,Coop
18,6,5,6,9,4,6,2,7,4,6,3,10,7,1,7,8,9,9,9,5,6,7,7,9,7,4,2,10,6,3,7,1,Slow,Coop
19,4,9,1,7,5,4,8,1,5,2,7,4,3,8,6,10,2,1,6,3,8,10,10,7,3,9,8,9,3,2,8,7,Slow,Coop
20,5,7,6,3,8,1,3,10,8,3,4,3,2,5,4,6,5,6,5,7,7,2,1,5,6,6,9,8,2,8,10,9,Slow,Coop
21,1,2,5,8,3,9,6,3,9,1,5,1,9,9,10,1,8,4,4,4,4,3,2,8,2,3,5,1,5,5,5,4,Slow,Coop
22,6,5,3,1,7,2,4,8,2,4,9,7,4,3,2,7,6,5,2,8,9,5,7,9,7,8,1,10,9,7,10,1,Slow,Coop
23,7,8,2,4,6,4,10,1,4,1,2,5,10,6,9,9,7,8,1,1,1,4,4,4,5,10,3,9,8,9,6,2,Slow,Coop
24,9,3,10,2,9,10,8,5,6,2,7,6,1,7,5,3,3,9,3,9,5,6,3,6,4,4,6,3,6,10,3,10,Slow,Coop
25,10,6,8,10,2,8,7,8,1,8,1,4,5,8,8,2,1,2,8,2,8,2,9,2,9,7,10,7,2,8,2,3,Slow,Coop
26,8,4,4,6,10,5,2,7,10,7,10,10,9,3,3,6,10,5,9,10,7,8,2,10,2,2,9,2,1,5,2,6,Slow,Coop
27,2,1,9,2,3,1,1,6,3,5,5,9,2,4,1,5,3,4,10,2,2,1,6,7,10,1,4,8,5,10,7,9,Slow,Coop
28,3,10,7,7,8,8,4,2,2,5,3,8,4,1,7,10,5,7,8,6,3,9,1,1,4,6,2,6,8,1,6,7,Slow,Coop
29,1,2,7,5,1,3,3,10,8,10,6,2,6,6,6,8,10,8,4,9,6,10,3,6,3,4,7,5,4,3,10,4,Slow,Coop
30,4,3,8,8,5,3,6,3,6,6,7,5,10,7,3,4,2,1,5,4,10,6,8,10,8,8,7,1,9,2,4,2,Slow,Coop
31,7,7,1,3,7,10,8,7,5,2,4,6,8,1,8,3,4,3,4,3,6,7,9,4,1,5,4,4,2,6,1,8,Slow,Coop
32,10,9,3,6,4,4,7,1,2,3,1,9,1,8,4,7,7,6,2,10,1,3,2,1,9,3,3,9,10,9,5,5,Slow,Coop
33,9,4,5,10,3,7,1,9,7,7,10,10,5,5,7,2,1,5,10,1,2,1,5,9,6,9,6,2,7,10,6,10,Slow,Coop
34,8,1,10,4,8,9,9,8,1,4,3,4,9,4,9,6,6,1,4,5,8,8,1,7,10,10,9,8,6,8,8,1,Slow,Coop
35,6,6,9,1,2,3,5,5,8,5,7,1,7,8,2,5,4,4,9,7,7,10,3,5,3,5,5,6,1,5,10,5,Slow,Coop
36,5,10,2,7,1,1,2,4,9,1,4,3,3,1,1,10,2,6,6,4,5,5,9,2,8,2,10,10,3,9,3,2,Slow,Coop
37,4,5,4,2,10,5,10,1,3,6,2,7,2,9,10,9,9,9,7,2,4,7,8,3,5,4,1,7,8,4,5,6,Slow,Coop
38,3,3,3,8,9,7,3,2,2,9,8,1,8,7,8,1,5,7,1,6,9,2,3,6,4,1,3,3,6,3,2,7,Slow,Coop
39,7,6,1,4,4,9,7,9,10,8,5,4,9,2,5,4,10,2,1,3,2,1,4,5,2,6,6,8,2,6,4,4,Slow,Coop
40,10,9,2,6,5,6,9,7,6,10,9,3,7,4,4,8,3,8,3,8,4,9,10,9,6,9,9,10,10,8,1,8,Slow,Coop
41,1,4,5,10,2,4,10,10,4,4,3,7,5,9,6,3,8,3,8,1,6,6,2,8,3,7,4,5,7,2,7,3,Slow,Coop
42,9,8,9,2,7,2,2,8,1,3,7,6,1,3,2,6,2,7,7,7,8,3,5,10,9,4,7,6,4,1,9,1,Slow,Coop
43,8,5,10,1,6,8,4,1,3,1,10,8,4,7,7,8,6,5,7,10,5,10,4,3,2,8,8,3,3,4,6,10,Slow,Coop
44,4,2,4,3,10,9,8,3,9,6,4,9,6,6,3,10,1,6,9,5,1,2,9,7,8,3,2,7,5,5,5,4,Slow,Coop
45,6,7,6,8,1,1,1,5,7,2,5,10,10,4,10,2,10,1,10,6,10,7,3,2,6,10,5,9,3,7,2,3,Slow,Coop
46,5,1,7,10,2,5,6,10,10,7,1,3,9,5,8,4,4,9,6,8,7,4,10,4,10,5,1,2,8,2,1,7,Slow,Coop
47,2,3,1,7,4,8,5,8,4,4,8,4,2,3,1,9,2,3,6,4,9,8,2,1,1,1,10,4,6,9,8,9,Slow,Coop
48,7,10,8,4,9,2,3,7,8,9,2,7,4,8,9,1,9,2,7,5,3,5,1,8,3,7,3,6,10,6,9,2,Slow,Coop
49,9,6,10,1,3,5,7,9,2,5,6,6,7,9,2,5,5,8,5,2,8,2,6,5,7,2,2,1,7,3,4,8,Slow,Coop
50,2,4,2,9,7,3,10,3,3,10,3,9,4,5,4,1,10,4,2,10,10,6,9,2,2,8,6,5,9,7,10,6,Slow,Coop
51,10,2,5,3,8,10,2,4,5,6,8,8,1,2,7,10,3,3,3,3,1,10,7,7,8,4,7,2,4,5,7,9,Slow,Coop
52,1,2,9,10,10,5,5,9,6,3,10,2,9,4,10,7,6,1,8,1,4,1,3,6,10,3,4,8,1,10,5,10,Slow,Coop
53,3,8,4,2,4,6,1,2,10,5,4,1,8,7,5,6,8,9,9,9,5,9,1,1,6,5,9,4,5,8,3,4,Slow,Coop
54,8,4,7,6,1,7,9,10,9,1,9,3,10,8,9,2,2,6,1,7,7,3,5,3,4,10,4,9,7,3,8,7,Slow,Coop
55,5,5,6,1,2,9,6,1,1,8,1,8,2,2,7,4,5,5,2,2,2,2,2,10,3,6,1,3,3,2,9,1,Slow,Coop
56,7,1,3,4,5,1,3,8,6,4,5,10,7,6,2,9,1,8,10,6,9,8,8,4,9,9,8,10,4,4,9,5,Slow,Coop
57,2,9,8,8,6,4,8,7,7,7,3,4,10,1,8,3,10,4,9,3,3,10,10,9,2,1,3,2,8,7,7,6,Slow,Coop
58,10,10,9,2,9,8,5,3,4,2,8,8,4,7,6,5,7,7,8,5,6,6,7,7,5,8,9,9,10,10,2,2,Slow,Coop
59,9,4,1,10,8,3,6,10,2,5,6,2,1,3,1,8,4,3,10,10,2,2,9,5,4,5,2,4,1,5,1,3,Slow,Coop
60,1,2,10,4,10,5,2,8,9,3,5,7,3,8,3,10,2,9,6,1,4,4,5,1,8,2,6,6,9,6,10,8,Slow,Coop
61,4,6,5,7,6,7,4,2,5,3,1,5,7,7,5,4,9,8,3,9,1,1,2,9,2,7,5,1,3,3,7,10,Slow,Coop
62,6,4,2,5,4,1,1,5,6,6,7,9,9,5,4,7,6,5,3,4,6,7,3,8,9,9,7,7,4,7,9,2,Slow,Coop
63,8,8,4,9,1,6,8,6,1,9,4,3,6,2,10,2,1,2,5,8,9,3,8,2,6,4,1,10,6,2,6,5,Slow,Coop
64,5,7,3,1,2,9,10,4,10,10,10,1,8,6,2,3,8,1,7,6,3,4,6,3,2,3,10,8,8,1,4,1,Slow,Coop
65,3,5,6,10,4,4,3,3,2,1,2,6,2,1,6,8,3,4,4,9,7,10,1,10,1,10,8,3,7,6,4,7,Slow,Coop
66,10,3,1,3,7,10,9,7,7,6,6,7,10,9,7,1,5,8,5,3,8,8,10,6,8,8,6,4,2,4,5,9,Slow,Coop
